Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Oswald, Teresa; Petersen, Melissa; Stark, Tracy",Analysis of cirral length and segmentation in the barnacle Semibalanus cariosus,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,Semibalanus cariosus,,
"Renn, Susan",Beomechanics of filter feeding in Ptilosarcus and Metridium,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,Ptilosarcus gurneyi; Metridium senile,,
"Rhodes, Juliet; Cook, Stephan",Permanent sand transect report Eagle Cove San Juan Island,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,,"Eagle Cove, San Juan Island",
"Syverson, Kathryn L.",A permanent transect at Point Caution: comparison over two years,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,,"Point Caution, San Juan Island",
Class Project,Cattle Point Transect 1990,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,,"Cattle Point, San Juan Island",
Class Project,Transect survey at Rueben Tarte Spring 1990,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1990,,"Reuben Tarte Park, San Juan Island",
"Anderson, Frank E.; Brumbaugh, Daniel R.; Hintz, Jennifer L.; West, Jordan M.",In situ verification of preferential recruitment of Membranipora membranacea ancestrulae (Bryozoa: Cheilostomata): discrimination between the effects of hydrodynamic regimes and substrata,Zoology 533b,Larval Ecology,Spring,1990,"Laminaria groenlandica; Membranipora membranacea
",,
"Basch, Larry; Miyasato, Gail; Schubart, Christoph",Settlement of juvenile barnacles in intertidal microhabitats: potential role of microhabitat on recruitment success,Zoology 533b,Larval Ecology,Spring,1990,Balanus glandula; Semibalanus cariosus; Chthamalus dalli,,
"Hentschel, Brian; Retzer, Connie Miller; Sordino, Paolo",Brooding and reproductive effort of three polychaetes,Zoology 533,Larval Ecology,Spring,1990,Pseudopolydora kempi; Sinistrella abnormis; Autolytus magnus,,
"Anderson, Frank E. ""Andy""","The effects of two benthic predators on the behavior, distribution and survivorship of veliger larvae of the dorid nudibranch Acanthdoris brunnea",Zoology 533b,Larval Ecology,Spring,1990,Metridium senile; Cnemidocarpa finmarkiensis; Acanthodoris brunnea,,
"Basch, Lawrence V.","Effects of natural particulate diet on rates of survival, growth and differentiation of a planktotrophic echinoderm larva (Asterina miniata, Asteroidea: Valvatida)",Zoology 533b,Larval Ecology,Spring,1990,Asterina miniata; Dunaliella tertiolecta; Rhodomonas,,
"Brumbaugh, Daniel R.",In situ investigation of possible settlement cues for Membranipora membranacea (Bryozoa; Cheilostomata): manipulations of Nereocystis luetkeana kelp substrata,Zoology 533b,Larval Ecology,Spring,1990,"Membranipora membranacea; Nereocystis luetkeana
",,
"Hentschel, Brian T.",Optimal body size for encapsulated spionid polychaete larvae to leave the brood and feed in the plankton: the trade-off between growth rate and mortality,Zoology 533b,Larval Ecology,Spring,1990,"Boccardia proboscidea; Polydora ligni
",,
"Hintz, Jennifer L.; West, Jordan M.",Induction of settlement and metamorphosis of sand dollar (Dendraster excentricus) larvae in the presence of an arenicolid polychaete and a  holothuroid,Zoology 533b,Larval Ecology,Spring,1990,Dendraster excentricus; Leptosynapta clarki; Abarenicola pacifica,,
"Retzer, Connie Miller",A test for settlement cues in Autolytus magnus,Zoology 533b,Larval Ecology,Spring,1990,Autolytus magnus; Sarsia; Bougainvillia mimosa,,
"Miyasato, Gail","Does the larval skeleton of Dendraster excentricus provide defense against planktonic predators?  Or: ""The gulping gourmet: where boneless larvae come from and a sculpiniferous explanation for their rarity in the vast Pacific""",Zoology 533b,Larval Ecology,Spring,1990,"Dendraster excentricus; Oligocottus maculosus
",,
"Schubart, Christoph",Recruitment of juvenile barnacles into empty tests of Balanus glandula,Zoology 533b,Larval ecology,Spring,1990,Balanus glandula; Semibalanus cariosus; Mytilus,,
"Sordino, Paolo",Food-related growth of prematurely released stages of Autolytus magnus,Zoology 533b,Larval Ecology,Spring,1990,"Autolytus magnus; Thalassiosira weissflogii
",,
"Berlow, Eric L.; Navarrete, Sergio A.",Modification of local physical conditions by Semibalanus cariosus: effects on feeding performance of Nucella emarginata,Zoology 533b,Physical Biology,Summer,1990,Balanus glandula; Semibalanus cariosus; Nucella emarginata,,
"Blanchette, Carol Anne","Mechanical and thermal interactions between an algal epizoan, Endocladia muricata, and its host, Mytilus californianus",Zoology 533b,Physical Biology,Summer,1990,Endocladia muricata; Mytilus californianus; Mytilus edulis,,
"Brumbaugh, Daniel R.",Regulation of intraclonal spacing in the anemone Anthopleura elegantissima (Anthozoa: Actiniaria): and investigation of the role of oxygen concentration in tide pools,Zoology 533b,Physical Biology,Summer,1990,"Anthopleura elegantissima; Symbiodinium microadriaticum
",,
"Gomez-Cornejo, Eduardo",Thermal vs convective heat loss in Nucella Lamellosa and the importance of the shell ornamentation,Zoology 533b,Physical Biology,Summer,1990,Nucella Lamellosa; Nucella emarginata; Littorina africana,,
"Helmuth, Brian S.; Hurley, Laura",Behavioral modification of evaporative water loss and the photic microenvironment by the anemone Anthopleura elegantissima: the adaptive significance of rock decoration,Zoology 533b,Physical Biology,Summer,1990,"Anthopleura elegantissima
",,
"Lee, Carol E.",Effects of copepod egg brooding on locomotion and oxygen delivery to eggs,Zoology 533b,Physical Biology,Summer,1990,"Pseudocalanus; Harpacticoids
",,
"Podolsky, Robert D.",Ontogenetic shape changes in the barnacle Semibalanus cariosus: effects on body size limits at different heights in the intertidal,Zoology 533b,Physical Biology,Summer,1990,"Semibalanus cariosus
",,
"Rawlings, Tim",Thick or thin walls?  An encapsulating problem,Zoology 533b,Physical Biology,Summer,1990,Nucella emarginata; Nucella lapillus; Conus,,
"Schabes, Mauricio",Needles and candy: assessing the variation in the local boundary layer characteristics over the thallus of Alaria marginata and its implications on the epiphytic communities,Zoology 533b,Physical Biology,Summer,1990,"Alaria marginata; Membranipora membranacea
",,
"Tu, Michael","Thermal balance, mechanical stress and the tube structure of Eudistylia vancouveri",Zoology 533b,Physical Biology,Summer,1990,"Eudistylia vancouveri
",,
"Pratt, Stacy; Moeller, John; Montgomery, Paul",The geomagnetic sense: the generation of cDNA probes from specific cell types in the brain of Tritonia diomedea,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Tritonia diomedea; Armina californica
",,
"Marois, Rene",A search for homeoboxes in Mollusca,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Hirudo medicinalis; Aplysia; Tritonia,,
"Li, Weiming",Armina californica as a semi-intact preparation for intracellular recording,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Aplysia californica; Tritonia diomedea,,
"Sivilotti, Lucia; Sorensen, Kenneth A.","GABA, taurine, and 5-HT effects on buccal neurons in the nudibranch Tritonia diomedea",Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Tritonia diomedea
",,
"Pratt, Stacy",Morphology of identified SCP-containing neurons in the buccal ganglia and gastroesophageal ganglia of nudibranchs,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,,,
"Funk, Edgar; Moeller, John",Slugsense,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Ariolimax columbianus
",,
"Funk, Edgar; Wright, Doug",Investigation of the gene encoding for eclosion hormone in arthropods using polymerase chain reaction,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Manduca; Bombyx; Drosophila melanogaster; Caenorhabditis elegans,,
"Rodriguez, Katrin; Chen, Aileen",An attempt to locate myosin I in brain tissue of the black prickleback fish through the use of gel electrophoresis,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,,,
"Chen, Aileen; Rodriguez, Katrin",The effects of FGF on the electrophysiological properties of ganglionic cells in Armina brain tissue,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Armina
",,
"Sorensen, Kenneth A.; Sivilotti, Lucia G.",Extraction of mRNA from the nervous system of the nudibranch Armina californica,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Armina californica; Tritonia diomedea
",,
"Sorensen, Kenneth A.; Wright, Douglas E.",Effects of putative neurotransmitter candidates on pedal neurons in the brain of Melibe leonina,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Melibe leonina; Archidoris montereyensis
",,
"Sivilotti, Lucia; Sorensen, Ken; Wright, Doug",In situ hybridization in the brain of the tobacco hornworm Manduca sexta,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Manduca sexta
",,
"Pratt, Stacy; Moeller, John","In search of electrically coupled neurons in buccal ganglia of the dorid nudibranch, Archidoris montereyensis",Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Melibe leonina; Dirona albolineata; Archidoris montereyensis,,
"Li, Weiming; Pratt, Stacy",Analytical purification of SCPB from the slug Ariolimax columbianis,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Aplysia californica; Limax maximus; Ariolimax columbianus,,
"Stewart, Heather",DNA sequencing gels: procedure notes,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,,,
"Stewart, Heather",Sequencing of Drosophila eclosion hormone gene,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Drosophila,,
"Montgomery, Paul; Stewart, Heather",Subcloning of DNA fragments encoding Drosophila eclosion hormone,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,"Drosophila
",,
"Stewart, Heather L.",Comparison of HPLC-separated peptides from brain extracts of two dorids,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Triopha; Tritonia; Melibe,,
"Wright, Doug; Funk, Edgar",Southern blot of the eclosion hormone gene in crustaceans,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1990,Drosophila; Thermobia; Acheta,,
"Barry, John J.; Links, Ann C.; Liptack, Michael K.",The effects of size on the diversity of organisims in the Holfast of Hedophyllum sessile,430,Zoology,Spring,1990,Hedophyllum sessile; Holfast; diversity,Friday Harbor Laboratories,
"Cann, Carey; Farr, Elizabeth","Artemia or barnacle nauplii: what to eat and how fast to eat it. Decisions made by the hydromedusae, Bougainvilla superciliaris",430,Zoology,Spring,1990,Bougainvilla superciliaris; hydromedusae; barnacle nauplii,Friday Harbor Laboratories,
"Dietzman, Daniel",Algal feeding preferences of Xiphister mucosus and Xiphister atropurpureus,430,Zoology,Spring,1990,Xiphister mucosus; Xiphister atropurpureus,Friday Harbor Laboratories,
"Hayre, Ranjiv S.; Murohy, Dorothy",Ion leakage and mortality rates of Laminaria saccharina after exposure to metropolitan polluntants,430,Zoology,Spring,1990,Laminaria saccharina; pollutants,Friday Harbor Laboratories,
"Hyde, D.C.; Breuner, C.W.","Preferential orientation in the limpet, Lottia pelta",430,Zoology,Spring,1990,Lottia pelta; Limpet,Friday Harbor Laboratories,
"Mack, Heather",Predation on Nudibranch Egg Masses,430,Zoology,Spring,1990,Nudibranch; Predation,Friday Harbor Laboratories,
"Meyers, Sarah K.",Triopha catalinae and its feeding preferences,430,Zoology,Spring,1990,Triopha catalinae; Nudibranch; Iridaea; Prionitis,,
"Oswald, Teresa; Petersen, Melissa; Stark, Tracy",Analysis of cirral length and segmentation in the barnacle Semibalanus cariosus,430,Zoology,Spring,1990,Semibalanus cariosus; barnacle,Friday Harbor Laboratories,
"Renn, Susan",Biomechanics of filter feeding in Ptilosarcus and Metridium,430,Zoology,Spring,1990,Ptilosarcus gurneyi; Metridium senile,Friday Harbor Laboratories,
"Rhodes, Juliet; Cook, Stephan",Permanent sand transect report Eagle Cove San Juan Island,430,Zoology,Spring,1990,Eagle Cove; tidal heights; isopods; amphipods; polychaetes,San Juan Island,
"Syverson, Katryn L.",A permanent transect at Point Caution: Comparison over two years,430,Zoology,Spring,1990,Point Caution; transect; Algal; distribution,"Point Caution, San Juan Island",
,Cattle Point Transect,430,Zoology,Spring,1990,,Friday Harbor Laboratories,
,Transect Survey at Rueben Tarte,430,Zoology,Spring,1990,,Friday Harbor Laboratories,
"Prichard, Susan","The role of the epiphytes, Smithora naiadum and diatoms, on growth and photosynthesis of Phyllospadix scouleri",Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,Smithora naiadum; Phyllospadix scouleri,,
"Teal, Thomas Henry",The effects of epiphytes on growth and photosynthesis in the surfgrass Phyllospadix scouleri,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,Smithora naiadum; Phyllospadix scouleri,,
"Daniels, Matthew Paul",The theory of island biogeography: a study of the rock islands of False Bay,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"False Bay, San Juan Island",
"Newby, Shannon; Daniels, Matt; Price, Valynn",Island Biogeography: a study of rock islands in False Bay,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"False Bay, San Juan Island",
"Price, VaLynn",One point of the island equilibrium theory,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,,
"Skinner, Rick N.; Daniels, Matt; Ward, Linda",Species richness and rock island size within False Bay,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"False Bay, San Juan Island",
"Ward, Linda; Skinner, Rick; Daniels, Matt","Island biogeographic species-area relationships in False Bay, San Juan Island",Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"False Bay, San Juan Island",
"De Wulf, Valerie D.",Scanning for egg laying hormon (ELH) in Opisthobranch mollusks,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,Aplysia californica,,
Class Project,1991 Cattle Point transect census,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"Cattle Point, San Juan Island",
Class Project,Ruben Tarte Transects 1991,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1991,,"Reuben Tarte Park, San Juan Island",
"Biermann, Christiane; Scanlon, Lori A.",Vertical zooplankton distribution as determined by two sampling methods (incomplete),Zoology 533,Larval Ecology and Evolution,Spring,1991,,,
"Lee, Carol E.",Opistobranch egg mass design: density of embryos and allocation of gel in egg masses of different design,Zoology 533,Larval Ecology and Evolution,Spring,1991,Melibe leonina; Tritonia diomedea; Melanochlamys diomedea,,
"Podolsky, Robert D.; Mense, David J.; Kettle, Arthur B.",Separating the effects of water temperature and viscosity on swimming performance of echinopluteus larvae,Zoology 533,Larval Ecology and Evolution,Spring,1991,"Dendraster excentricus; Hemicentrotus pulcherrimus
",,
"Tamburri, Mario N.; Schinner, Gottfried O.; Robertson, Charles Y.","The role of the rostral spine in porcellanid zoeae: defense, stabilization, and regulation of sinking rate",Zoology 533,Larval Ecology and Evolution,Spring,1991,Petrolisthes; Pachycheles; Oligocottus maculosus,,
"Kettle, A.; Robertson, Y.",In search of chemical inducers of settlement in Membranipora membranacea on Nereocystis luetkeana,Zoology 533,Larval Ecology and Evolution,Spring,1991,Membranipora membranacea; Nereocystis luetkeana; Laminaria,,
"Mense, David J.",Density changes with development in the eggs of Psolus chitonoides (Echinodermata: Holothuroidea),Zoology 533,Larval Ecology and Evolution,Spring,1991,"Psolus chitonoides; Corella willmeriana
",,
"Podolsky, Robert D.; Lee, Carol E.","Effects of temperature, viscosity, and acclimation on sperm longevity in Dendraster excentricus, or: hot or cold, sperm grow old",Zoology 533,Larval Ecology and Evolution,Spring,1991,"Dendraster excentricus; Strongylocentrotus droebachiensis
",,
"Scanlon, Lori A.; Tamburri, Mario N.",The influence of geomagnetic fields on directed movement of crustacean larvae,Zoology 533,Larval Ecology and Evolution,Spring,1991,"Tritonia diomedea
",,
"Biermann, Christiane H.; Schinner, Gottfried O.",The influence of light and current on egg masses of Archidoris montereyensis (Gastropoda; Opisthobranchia),Zoology 533,Larval Ecology and Evolution,Spring,1991,Archidoris montereyensis; Haminoea vesicula; Melanochlamys diomedea,,
"Kettle, Arthur","Membranipora membranacea larvae and Nereocystis luetkeana beds: does more flow bring more larvae, and do they settle?",Zoology 533,Larval Ecology and Evolution,Spring,1991,Membranipora membranacea; Nereocystis luetkeana; Macrocystis pyrifera,,
"Lee, Carol E.",Light response in a brooding copepod Pseudocalanus moultoni: reaction to predators in a light-intensity gradient,Zoology 533,Larval Ecology and Evolution,Spring,1991,"Pseudocalanus moultoni
",,
"Mense, David J.",Changes in size and floatation of eggs of Solaster stimpsoni (Echinodermata: Asteroidea),Zoology 533,Larval Ecology and Evolution,Spring,1991,"Solaster stimpsoni; Psolus Chitonoides
",,
"Podolsky, Robert D.",Changes in water viscosity alter development of the sand dollar Dendraster excentricus,Zoology 533,Larval Ecology and Evolution,Spring,1991,"Dendraster excentricus
",,
"Scanlon, Lori A.","Observations on flavored versus non-flavored particle feeding by the echinoplutei, Dendraster excentricus",Zoology 533,Larval Ecology and Evolution,Spring,1991,"Dendraster excentricus
",,
"Tamburri, Mario N.; Robertson, Charles Y.",Wall effects on ciliary motion of a larva: Ostrea edulis,Zoology 533,Larval Ecology and Evolution,Spring,1991,"Ostrea edulis
",,
"Daley, G.M.",Hinge and valve strength: a study in the decay of Terebratalia transversa Sowerby,Zoology 533b,Marine Taphonomy,Summer,1991,"Terebratalia transversa; Platystrophia ponderosa
",,
"Hale, Melina E.","Effects of temperature, oxygen, and sediment on decay of the dogfish shark (Squalus acanthias) vertebral column",Zoology 533b,Marine Taphonomy,Summer,1991,"Squalus acanthias
",,
"Lask, Peter B.",The hydraulic behavior of sclerites from the trilobite Flexicalymene meeki,Zoology 533b,Marine Taphonomy,Summer,1991,"Flexicalymene meeki
",,
"LeClair, Elizabeth E.",Post-mortem behavior of the aboral body wall of the starfish Solaster and Pisaster: anatomy and biomechanics,Zoology 533b,Marine Taphonomy,Summer,1991,"Solaster stimpsoni; Pisaster ochraceus
",,
"Leeper, Kari",A study on the decay of Katharina tunicata and the dissociation of the shell plates,Zoology 533b,Marine Taphonomy,Summer,1991,"Katharina tunicata
","Eagle Cove, San Juan Island; False Bay, San Juan Island",
"Lescinsky, Halard",Epibionts on Chlamys hastata and Chlamys rubida: taphonomic and paleoecologic implications; a preliminary report,Zoology 533b,Marine Taphonomy,Summer,1991,"Chlamys hastata; Chlamys rubida
",,
"Olszewski, Tom",Mechanisms of bioturbation in Abarenicola pacifica (Polychaeta; Arenicolidae) and effects on subsurface shell transport,Zoology 533b,Marine Taphonomy,Summer,1991,"Abarenicola pacifica
",,
"Shroba, Cynthia S","Taphonomic features of benthic foraminifera in a temperate setting: experimental and field observations on the role of abrasion, solution, and microboring in the destruction of faraminiferal tests",Zoology 533b,Marine Taphonomy,Summer,1991,Elphidiella; Islandiella,,
"Silva de Echols, Catarina M.H.M.","Diatom infestation of recent crinoid ossicles in temperate waters, Friday Harbor Laboratories, Washington: implications for biodegradation of skeletal carbonates",Zoology 533b,Marine Taphonomy,Summer,1991,"Florometra serratissima; Ophiura lutkeni
",Friday Harbor Laboratories,
"Uhen, Mark D.; Dent, Steven R.",Biotic and abiotic mechanisms of bivalve shell transport and orientation,Zoology 533b,Marine Taphonomy,Summer,1991,Acila castenella; Abarenicola vagabunda; Cancer; Pagurus,,
"Tang, Qing; Crest, Marcel; Small, Rochelle",Possible NGF-like gene in Tritonia diomedea obtained by PCR amplification,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Tritonia diomedea
",,
"Anderson, Curtis W.; Haddock, Steven H.D.",Characteristics of bursting patterns in ganglial neurons of Tritonia diomedea,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Tritonia diomedea; Aplysia californica
",,
"Tyrrell, Sophia; Morrey, Craig",Isolation of and in vitro transcription from Shaker B cDNA,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Xenopus
",,
"Crest, Marcel; Gammie, Stephen C.",Purification of DNA encoding the Shaker B gene and subsequent production of the specific mRNA,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Drosophila melanogaster; Xenopus
",,
"Munro, Ed; Hurley, Laura",Light-induced electrical responses in a reidentifiable cluster of cerebral neurons in Melibe leonina,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Melibe leonina; Tritonia diomedea
",,
"Anderson, Curtis W.; Morrey, Craig E.",Histological techniques for identifying neurogenesis in Drosophila melanogaster and segmentation genes in Tritonia diomedea,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Drosophila melanogaster; Tritonia diomedea
",,
"Awad, Tim A.; Tyrrell, Sophia",An attempt to clone a rod pathway-specific glutamate receptor; Part one: Isolation of mRNA from dogfish retina and optic tectum,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Squalus acanthias; Xenopus
",,
"Haddock, Steven H.D.; Gammie, Stephen C.; Crest, Marcel M.P.",Tentative evidence for expression of Shaker B channel mRNA in Xenopus oocytes and Tritonia neurons,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,Drosophila melanogaster; Xenopus; Tritonia diomedea,,
"Munro, Ed",K-currents in Tritonia diomedea: a voltage clamp study,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Tritonia diomedea
",,
"Gammie, Stephen C.",Possible identification and amplification of DNA from Manduca sexta encoding for nerve growth factor,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Manduca sexta
",,
"Gammie, Stephen C.",Addendum to: Tentative evidence for expression of Shaker B channel mRNA in Xenopus oocytes and Tritonia neurons,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,Xenopus; Tritonia,,
"Hurley, Laura; Haddock, Steven",Attempted expression of photoprotein mRNA in oocytes,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,Aequorea; Xenopus,,
"Awad, Tim A.",Progress towards isolation and characterization of dogfish glutamate receptors; Part two: Non-expression of retinal and tectal mRNA in Xenopus oocytes,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,Squalus acanthias; Xenopus,,
"Tang, Qing; Evans, Barbara","The expression of FMRF-amide, Eve- and invected genes and an enhancer trap p-element in the developing CNS of Drosophila melanogaster",Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Drosophila melanogaster
",,
"Morrey, Craig; Anderson, Curtis",Neurotrophin presence in the octopus and flounder: identification and isolation of an NGF-like molecule,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Octopus bimaculoides
",,
"Evans, Barbara","Generation of non-radiocactive digoxigenin labelled RNA probes for glutamate receptor using in vitro transcription and expression of FMRFamide and glutamate receptor using in situ hybridization in the teleost retina (Pleuronectidae)
]",Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,Drosophila; Lepidopsetta bilineata; Hippoglossoides elassodon,,
"Morrey, Craig",Partial characterization of peptides from single cells of Tritonia ganglia,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Tritonia; Aplysia
",,
"Awad, Tim A.; Tyrrell, Sophia",An attempt to clone a rod pathway-specific glutamate receptor; Parts three and four: Northern blot analysis and a PCR approach to isolate glutamate receptors,Zoology 538b,Comparative Physiology (Molecular Neurobiology),Spring,1991,"Squalus acanthias
",,
"Toller, Wes","Pectoral fin function in the kelp greenling, Hexagrammos decagrammus (Hexagrammidae)",Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Hexagrammos decagrammus
",,
"Nauen, Jennifer",Pectoral fin use during swimming by the cottid Myoxocephalus polyacanthocephalus,Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Myoxocephalus polyacanthocephalus
",,
"Lonzarich, Mary R.",The effects of scaling on suction feeding in striped perch (Embiotoca lateralis),Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Embiotoca lateralis
",,
"Lean, Deana L.",Regional gas exchange in air for Xiphister atropurpureus,Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Xiphister atropurpureus
",,
"Palm, Roger",Use of mechanoreception in Oligocottus maculosus for prey localization through substrate vibrations,Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Oligocottus maculosus
",,
"Lamberg, Jennifer","Impact of fish on fish food: the tidepool sculpin, Oligocottus maculosus, as a toplevel predator in high tidepools",Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,Oligocottus maculosus; Hyale pugettensis; Tigriopus californicus,,
"Miller, Sue",Survey of rocky nearshore fishes in northern Puget Sound,Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,"Sebastes; Cottidae; Gobiidae
","Puget Sound, Northern",
"Trowbridge, Wendy B.",Friday Harbor salmon and marine fish hatchery,Fisheries 565,Functional Morphology and Marine Ecology of Fishes,Summer,1991,,Friday Harbor,
"Toperosky, Ali",Tidepools as a refuge,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Lottia digitalis; Lottia strigatella; Lottia pelta,,
"Tomanek, Lars; Toperosky, Alicia",Tidepools as an example of zonation in the intertidal zone ant their role as refuges,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,,,
"Tran, Duyen My",A survey of the escape response in Tritonia diomedea during contacts with representative marin invertebrates organisms,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Tritonia diomedea; Urctina; Aphrodita,,
"Sotka, Erik",Rock and roll: using succession on a rocky intertidal boulder field as a measure of disturvance by wave exposure,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,,,
"Wood, Patrick Jordan",An inquiry into the successional trends of proteted and exposed rocky intertidal beaches,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Chlorophycota; Phaeophyta; Rhodophyta,,
Class Project,1992 Cattle Point Transect Census,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,,"Cattle Point, San Juan Island",
Class Project,1992 Reuben Tarte Transect Census,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,,"Reuben Tarte Park, San Juan Island",
"Class Project
",Laminaria saccharina biomass and production,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Laminaria saccharina,,
"Beaulieu, Cassandra M.","A study of food locating behavior of two opishobranchs, Tritonia diomedea and Archidoris monereyensis",Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Tritonia diomedea; Archidoris montereyensis; Ptilosarcus gurneyi,,
"Blewett, Christina",Osmoconformity in the purple sea urchin Strongylocentrotus purpuratus and its effect on population distribution,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Strongylocentrotus purpuratus,,
"Cameron, Michael F.; Waterhouse, Cary M.",Intertidal distribution of zoochlorellate and zooxanthellate Anthopleura elegantissima and its dependence on temperature,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Anthopleura elegantissima,,
"Waterhouse, Cary M.; Cameron, Michael",Temperature dependence of endosymbiont presence within the sea anemone Anthopleura elegantissima,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Anthopleura elegantissima,,
"Conrath, Misty; White, LiAnne; Copley, Jeff",The effects of Phyllospadix scouleri on tidepool communities,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Phyllospadix scouleri,,
"Copley, Jeffrey B.; White, LiAnne; Conrath, Misty",Species distribution in Phyllospadix-dominated versus non-Phyllospadix-dominated tidepools,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Phyllospadix scouleri,,
"White, LiAnne; Conrath, Misty; Copley, Jeff",Abiotic and biotic differences in Phyllospadix dominated and non-Phyllospadix tidepools,Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Phyllospadix scouleri; Haliclona permollis; Ophlitaspongia pennata,,
"Comiskey, Lisa; Masterson, Karen","Water soluble fractions of diesel fuel and their effects on fertilization, morphology, and sensitivity of larvae of Dendraster excentricus",Botany 445; Zoology 430,Marine Botany Marine Zoology,Spring,1992,Dendraster excentricus,,
