Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Urban, Emil K.",Remarks on the vertical intertidal distribution of Littorina in the San Juan archipelago,Zoology 533,Advanced invertebrate zoology,Summer,1959,"Littorina
",San Juan Islands,
"Weatherly, Norman F.",Rhizocephalan parasites of hermit crabs from the San Juan Island area,Zoology 533,Advanced invertebrate zoology,Summer,1959,Peltogaster; Peltogastrella; Thompsonia,San Juan Islands,
"Davis, P.W. Jr.",Some geographical and taxonomic aspects of the host-parasite relationships of the bopyrids and rhizocephalans of the San Juan Island area,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Anomura
",San Juan Island,
"Gardella, C.M.",Caprellidae of the San Juan area,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Caprellidae
",,
"Hermans, Colin O.",A preliminary study of the use of Thorson bottles as a technique for obtaining young polychaetes,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,,
"Goshusp Anklesavia, John",Check list of polychaetes from the Friday Harbor region and a key to the night light polychaetes at the laboratory pier,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,Friday Harbor,
"Johnson, Ned K.","The species problem in the prosobranch genus Lacuna in the Friday Harbor region, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Lacuna
",Friday Harbor,
"Long, John A.",Some observations on the growth of Terebratalia transversa (Soweby) 1846,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Terebratalia transversa,,
"McCorkle, David V.","Key to the species of Pagurus of the San Juan Island waters (revision of Stevens, 1925)",Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Pagurus
",San Juan Island,
"McCorkle, David V.","The distribution and a study of some factors responsible for such distribution of three species of intertidal hermit crabs at San Juan Island, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Pagurus hirsutiusculus; Pagurus granosimanus; Pagurus beringanus,San Juan Island,
"MacIntyre, Rose",Preliminary report on the cnidom of anemones of the San Juan region,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,San Juan Islands,
"Miller, David",The food and feeding of intertidal hermit crabs,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Pagurus beringanus; Pagurus hirsutiusculus; Pagurus granosimanus,,
"Potswald, Herbert E.",A study of the genus Spirorbis from the San Juan region with preliminary observations on development,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Spirorbis; Spirorbis eximius; Laeospira
",San Juan Islands,
"Ridgeway, Bill T.",A survey of the animal communities associated with the eel-grass Zostera marina with attention to the burrowing forms,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Zostera; Phyllospadix
",,
"Smith, Lynwood S.","Observations on Transennella tantilla, an ovoviviparous clam of the family Veneridae",Zoology 533,Advanced Invertebrate Zoology,Summer,1960,"Transennella tantilla; Aloidis
",,
"Waters, J.F.",Preliminary key to the Hydrozoa of the San Juan archipelago,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Campanularids; Hydrozoa,San Juan Islands,
"Willson, Mary F.",A tentative key to the gammarid amphipods of the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,gammarids,San Juan Islands,
